,normalized,meaning
17433,скирдование,скирдование\n1. чваквцIара́ [скирдование  сена]
17435,притворно,притворно\n1. чва́ла
17439,плач,плач\n1. гъы́бза [плач  обрядовый]гъыбза уысарасложить плач (причитание)\n2. чвалачIву́ [плач  во сне]\n3. чвалачIвы́уара [плач  притворный]ахI йпсра алыгчва йырчвалачIвыуарапIпосл. смерть князя - притворный плач крепостных\n4. чIвы́уараахI йгвапхараква алыг йчIвыуарапIпосл. прихоти князя - плач крепостного
17440,свеча,свеча\n1. чва́мзаачвамза аркIразажечь свечуачвамза рычврапогасить свечу
17441,трут,трут\n1. чвамса́\n2. чвымса́
17443,прилагательное,прилагательное\n1. чвапшы́рачвапшыра хьызграм. имя прилагательное
17445,красноватый,красноватый\n1. чва́пщасхъа чвапщрозовая ткань
17448,плавиться,плавиться\n1. чвара́ II.
17451,соня,соня\n1. чваргвы́гв
17452,сонливый,сонливый\n1. тапхьа-та́чв\n2. чваргвы́гвгIвычIвгIвыс чваргвыгвсонливый человек\n3. чвасы́с\n4. чвасы́сыгIв
17453,дратва,дратва\n1. мджьглы́ц\n2. чварна́ [дратва  кожаная]
17454,дратвенный,дратвенный\n1. чварна́
17455,лунатик,лунатик\n1. чварны́къва
17457,оспа,оспа\n1. чварпшдза́чварпшдза алацIарасделать прививку против оспы
17458,оспенный,оспенный\n1. чварпшдза́чварпшдза зхьуа чымазагIвоспенный больной
17459,рубец,рубец\n1. чварпшдзаты́п [рубец  на коже (оставшийся после прививки оспы)]
17460,постель,постель\n1. хъыгIв-цIгIвы́\n2. чварта́ачварта чпарапостелить постель
17461,постельный,постельный\n1. чварта́чварта режимпостельный режим
17465,кровать,кровать\n1. чвартагъвы́айха чвартагъвыжелезная кроватьгIвыджь зташвауа чвартагъвыдвуспальная кровать\n2. чIва́ра [кровать  деревянная]
17466,кроватный,кроватный\n1. чвартагъвы́
17468,обильно,обильно\n1. чварта́таахырбыз чвартата йацIапIобильный урожай арбузов
17471,сенозаготовка,сенозаготовка\n1. чвары́хIазырра
17475,косарь,косарь\n1. чва́сыгIвчвасыгIв бзихороший косарь\n2. чвахгIвы́ачвахыгIвчва чва рхитIкосари косят сено
17476,сонный,сонный\n1. чваргвы́гв\n2. чвасы́с
17477,дремать,дремать\n1. чвасы́сраамца адзхъа чвасысрадремать у костра
17478,дремота,дремота\n1. чвасы́сра
17479,дремлющий,дремлющий\n1. чвасы́сыгIв [дремлющий  постоянно]
17480,сеновал,сеновал\n1. чватара́
17484,могар,могар\n1. чвахIвраSetaria maharium Al.\n2. шырдзахIвра Уапшы чвахIвраSetaria jtalica var. mogharicum Al.
17487,сенокошение,сенокошение\n1. чвахра́
17492,кожедер,кожедер\n1. чвахъы́хыгIв [кожедер  (работнику снимающий шкуру с заколотых животных)]
17495,сенокосилка,сенокосилка\n1. чвахы́га
17499,зберобой,зберобой\n1. чвачай *(заимствовано из русского) Уапшы хIврагIважьHypericum perforatum L.[зберобой продырявленный]
17503,кожевник,кожевник\n1. чва́чпагIв
17504,кожевенный,кожевенный\n1. чвачпа́ртачвачпарта заводкожевенный завод
17505,вощеный,вощеный\n1. чващы́чващы зхьыщу аполвощёный полчващы зхьыщу аполвощёный пол
17506,любовник,любовник\n1. пщы́ла\n2. чвбза́
17511,царапанье,царапанье\n1. чвгъьгъьара́
17512,бычачий,бычачий\n1. чвгъьы́ачвгъьы чIвгIваквабычьи рога
17514,бык,бык\n1. чвгъьы́\n2. чвгъьырча́ [бык  откормленный]\n3. чвчIвы́с [бык  (кастрированный в возрасте от одного до двух лет)]
17515,зло,"зло\n1. гвы́жвкIта\n2. чвгьа́чвгьа хата бзи уамайгвгъанпосл. сделав зло, не ожидай добра\n3. чвгьа́таауи сара чвгьата дгIаспшытIон зло посмотрел на меня"
17516,злой,злой\n1. гвы́жвкI\n2. къаджьа́р [злой  (о человеке)]\n3. уагIвырсы́з\n4. чвгьа́ла чвгьазлая собака
17519,злословить,злословить\n1. чвгьахIвара́
17520,злословие,злословие\n1. чвгьахIвара́
17522,злодей,злодей\n1. чвгьа́ачвгьа йычвгьахара гIалхъирыситIпосл. злодея видно по его поступкам\n2. чвгьахагIвы́
17530,общипанный,общипанный\n1. чвкIвкIвы́къаз чвкIвкIвыобщипанный гусь
17531,босяк,босяк\n1. чвкIвры́
17532,облезлый,облезлый\n1. чвкьа́щхъвда чвкьащоблезлая шея напр. у курицы\n2. чвкIвры́чIашва чвкIврыоблезлый каракульахIвынап чвкIвры хъвы гIаквылхтIпосл. облезлая мышь вновь обросла шерстью\n3. чвыркIвры́хъылпа чвыркIврыободранная шапка
17533,облезать,"облезать\n1. гIахъы́цIраашвыга гIахъыцIитIкраска сходитанапIы ачва гIахъыцIитIкожа сходит с рук\n2. къьатIама́зхара [облезать  (о животных)]\n3. чвкьа́щра\n4. чвкIвырра́ [облезать  (о коже, о ворсе и т. п.)]"
17537,содранный,содранный\n1. чвкъьа́ [содранный  (о коже)]
17539,ссадина,ссадина\n1. чвкъьа́ртачвкъьарта дубольшая ссадина\n2. чвырцы́рта
17544,вламываться,вламываться\n1. гIвнащщы́лра [вламываться  (в помещение)]\n2. чвнашы́лра [вламываться  (в помещение)]атдзы чвнашылравломиться в дом\n3. чвыгIвна́лра [вламываться  (в помещение)]
17548,вех,вех\n1. уаухIвраCicuta virosa L.[вех ядовитый]\n2. чвпыцCicuta virosa L.[вех ядовитый]
17554,приедаться,приедаться\n1. ашIара́\n2. чвткъьара́ [приедаться  (о пище)]
17555,сквернослов,сквернослов\n1. бзы́чвгьа\n2. чвхIагIвы́
17556,сквернословить,"сквернословить\n1. чвхIара́\n2. шIа́чвхIвара [сквернословить  в лицо, в упор кого, кому]"
17557,сквернословие,сквернословие\n1. чвхIара́
17560,бычок,бычок\n1. чвхIвы́с [бычок  (в возрасте до одного года)]\n2. чвчIвы́с [бычок  (кастрированный в возрасте от одного до двух лет)]
17564,проясниваться,проясниваться\n1. чвцара́ [проясниваться  (о погоде)]ацIых чвцастIночь прояснилась
17565,прояснение,прояснение\n1. чвцара́
17568,малевать,малевать\n1. чвшвшвра́ [малевать  что]
17570,воловий,воловий\n1. чвы́чвы чIвгIвакваволовьи рога
17572,сытый,сытый\n1. чвы́ II.чви бжи абадырума?посл. сытый голодного не разумеет
17580,лестница,лестница\n1. чвымла́чвымладъа лыгIвра хъапалзагадка без лестницы на чердак прыгаетотгадка цгвы кошка
17581,лестничный,лестничный\n1. чвымла́
17583,неприятный,неприятный\n1. аджьальчва́ [неприятный  (о внешности)]\n2. гва́мпадзачIв гвампайа!какой он неприятный человек!\n3. гвптшы́га\n4. гвы́мга [неприятный  крайне]\n5. чвы́мыгъчвымыгъ уыснеприятное дело
17586,мухомор,мухомор\n1. чвынцIщы́га [мухомор  (гриб)]
17588,муха,"муха\n1. чвынцIы́чвынцI ссамошки, мошкара"
17589,мушиный,мушиный\n1. чвынцIы́
17591,ободранный,ободранный\n1. чвхIвхIвы́цIис чвхIвхIвыголый птенчикцIла чвхIвхIвыоголённое дерево\n2. чвыркIвры́хъылпа чвыркIврыободранная шапка
17592,обдирать,обдирать\n1. чвыркIвырра́ [обдирать  что]
17595,ссаживать,ссаживать\n1. хъкъьара́ [ссаживать  что]ащамхъа хъкъьарассадить колено\n2. чвырцра́ [ссаживать  что]анапIы чвырцрассадить руку
17597,ссаженный,ссаженный\n1. чвырцы́щамхъа чвырцыссаженное колено
17600,кормление,кормление\n1. чвырчара́ [кормление  волов]
17608,бледный,бледный\n1. чва́да [бледный  (о человеке)]\n2. чвы́шшвыга чвышбледная краска\n3. шкIво́кIва
17610,бледно,бледно\n1. чва́дата\n2. чвы́шта
17618,модный,модный\n1. фары́чIвкостюм фарычIвмодный костюм\n2. чIара́чIа
17620,блюдце,блюдце\n1. чIа́тастакан ачIат йтаргылрапоставить стакан на блюдце
17621,уважение,"уважение\n1. ду́ра\n2. пха́ II.зунагIва пха гIвнам айшва гьгайхарымпосл. у кого в доме нет уважения [друг к другу], у того и стол не будет ломиться от еды\n3. пIа́тIупIатIу зму гIвычIвгIвысавторитетный, уважаемый человек\n4. хвы́ II.хвы уымазларапользоваться авторитетомхвы амахымзларапотерять авторитет (уважение)\n5. чIа́хIзаджвы чIахI йзычпараоказывать уважение кому-либо\n6. чIахIны́гIаI. уважение\n1. пIатIу\n2. хвыуважение прав человекаагIвычIвгIвыс йхвитнагIаква хвы рзычпарауважение суверенитета государстваакъральыгIва ахъахвитра пIатIу азычпара"
17624,чествование,I. чествование\n1. чIахIра\n2. ртлапIарачествование ветеранов трудаанхара аветеранква йырчIахIра
17625,эскорт,I. эскорт\n1. эскорт *(заимствовано из русского)\n2. чIахIра надасыгIвчва\n3. чIахIра хчагIвчва
17628,хлебный,хлебный\n1. чIа́хъвачIахъва лыцIквахлебные изделия
17632,пекарь,пекарь\n1. чIахъвары́дзыгIв
17633,пекарня,пекарня\n1. чIахъвары́дзырта
17636,хлеборезка,хлеборезка\n1. чIахъваххы́га
17637,почка,почка\n1. бы́нджьа [почка  (растения)]\n2. гъьа́чIвырта\n3. гIайы́рта\n4. чIа́чIа анат.
17638,почечный,почечный\n1. чIа́чIа анат.чIачIа хьыгIапочечное заболевание
17639,смушка,смушка\n1. чIа́шва
17640,смушковый,смушковый\n1. чIа́швачIашва хъылпасмушковая шапка
17642,звездочка,звездочка\n1. чIа́щра [звездочка  на лбу (у животных)]
17643,новизна,новизна\n1. чIащы́гIва
17644,привередник,привередник\n1. чIащы́гIвачIв
17646,кабала,I. кабала\n1. чIгIвын\n2. чIгIвынра
17649,закабаляться,закабаляться\n1. чIгIвы́нхара
17652,привилегия,I. привилегия\n1. чIдахъвыта азыъазлара\n2. чIдахъвыта йбара\n3. чIыдахъвцхърагIарата йрыму
17658,закупоривание,закупоривание\n1. чIы́гвра
17659,излишек,излишек\n1. цынха́\n2. чIы́даI. излишек\n1. чIыдаизлишки продуктов сельского хозяйстваакытмлыквлыцI пкъыгIва чIыдаква
17660,лишний,лишний\n1. кIьы́дахъвмарыгIв кIьыдалишний игрокакнига кIьыдата йгIаццIтIкнига вышла отдельным изданием\n2. чIы́дабилет чIыдалишний билет\n3. чIыдахъвы́ахча чIыдахъвылишние деньги
17666,синий,синий\n1. чIы́хвжвгIванд чIыхвсинее небо\n2. чIы́хвдза [синий  очень]\n3. чIыхвтIкъы́тIкъ [синий  очень]
17667,лазурный,лазурный\n1. чIыхв-лаша́ра
17670,синеть,синеть\n1. а́квшвра [синеть  (напр. от холода)]\n2. чIы́хвхара
17671,синеватый,синеватый\n1. чIы́хвчва
17673,яблоко,"яблоко\n1. хIахъахIа́\n2. чIва́чIва хъагIасладкое яблокочIва чIвкъьакислое яблокобна чIвакислица (плод)бна чIвацIладикая яблоня, кислица\n3. чIва́йдза [яблоко  неспелое (зелёное)]ачIвайдза йнапIыцIагIвитIпосл. неспелое яблоко сохнет в его руках (о жадном человеке)"
17674,яблочный,яблочный\n1. чIва́чIва джемяблочный джемчIва цIлауатраяблоневый сад
17675,печень,печень\n1. чIва́ II.\n2. чIва́чIва (диалект: ащхъарауа)\n3. чIвынчIвы́гIа [печень  (у птиц)]
17676,печеночный,печеночный\n1. чIва́ II.чIва лагапечёночный фаршчIва лагапечёночный фарш\n2. чIва́чIва (диалект: ащхъарауа)чIвачIва алалагапечёночный фаршчIвачIва алалагапечёночный фарш\n3. чIвынчIвы́гIа
17682,черта,черта\n1. чIвагъва́рачIвагъвара алгарапровести черту\n2. чIвагъва́рта
17683,чертить,чертить\n1. чIвагъвара́ [чертить  что]
17687,бульон,бульон\n1. чIва́нкIвтIу чIванкуриный бульон
17688,бульонный,бульонный\n1. чIва́нчIван фгIвыбульонный запах
17691,скамейка,скамейка\n1. квчIва́рта\n2. чIва́ра\n3. чIва́рта
17692,багор,багор\n1. чIва́хIв
17693,багорный,багорный\n1. чIва́хIв
17696,яблоневый,яблоневый\n1. чIва́чIва джемяблочный джемчIва цIлауатраяблоневый сад\n2. чIва́цIла
17702,каракуль,каракуль\n1. чIа́шва\n2. чIва́шва
17703,каракулевый,каракулевый\n1. чIа́швачIашва хъылпасмушковая шапка\n2. чIва́швачIвашва хъвдахъцIакаракулевый воротник
17706,кол,кол\n1. чIвгIва́начIвгIван лацаразабить колачIвгIван чвразатесать кол
17707,кислый,кислый\n1. чIвкъьа́чIва чIвкъьакислое яблоко
17709,прокисать,прокисать\n1. алачIвра́ [прокисать  (о молоке)]\n2. чIвкъьахара́\n3. чIвра́ахырчIвы чIвытIмолоко прокисло
17711,длинный,длинный\n1. чIвры́шIахъа чIврыдлинное лицо
17714,засов,засов\n1. чIвы́ашв ачIвы атразакрыть дверь на засов\n2. швчIвы́ II. [засов  (у двери)]
17716,гвоздь,"гвоздь\n1. чIвы́мыгъайха гвашв змугьи чIвымыгъ йтахъхитIпосл. и тот, у кого ворота железные, нуждается в гвоздях"
17720,шагом,шагом\n1. чIвырхъа́лачIвырхъала мгIвайсраидти шагом
17727,стекло,стекло\n1. чIвы́ца
17728,стеклянный,стеклянный\n1. чIвы́цачIвыца мачвастеклянная посуда
17730,стеклить,стеклить\n1. чIвыцалацIара́ [стеклить  что]
17731,застекление,застекление\n1. чIвыцалацIара́
17732,стеклорез,стеклорез\n1. чIвыцапкъы́га [стеклорез  (инструмент)]\n2. чIвыцапкъы́гIв [стеклорез  (рабочий)]
17735,высохший,"высохший\n1. ба́падгьыл бапсухая земля\n2. за́рачIахъва зарачёрствый хлебашв заразатвердевший сыр\n3. шаба́ [высохший  (о земле, о почве)]адгьыл шабапросохшая земля"
17738,коротконожка,коротконожка\n1. шабийBrachypodium pinnatum (L.) P. B.[коротконожка пестрая]
17740,червоточина,червоточина\n1. шагIара́
17741,скирд,скирд\n1. ша́джь [скирд  необмолоченного хлеба (в снопах)]
17743,шайтан,шайтан\n1. шайта́насас йчвыкъаучIвахуа ашайтан йчIвыпIпосл. спрятанное тобой от гостя принадлежит шайтану
17747,будяк,будяк\n1. шайтанкIы́кIа
17749,бодяк,бодяк\n1. шайтанкIы́кIабодяк\n1. шайтанкIыкIа Уапшы шитанкIыкIаCirsium arvense Scop.[бодяк полевой]\n2. шитанкIыкIаCirsium arvense Scop.[бодяк полевой]\n3. шитанхшлакта Уапшы шитанкIыкIаCirsium arvense (L.) Scop.[бодяк полевой]
17760,первоцвет,первоцвет\n1. шайтанщапIы Уапшы шитанщапIPrimula L.\n2. шитанщапIPrimula farinosa L.[первоцвет мучнистый]\n3. шитанщапIPrimula macrocalyx Bunge.[первоцвет крупночашечный]\n4. шитанщапIPrimula L.
17767,невоспитанность,невоспитанность\n1. хIа́льдара\n2. ша́ндара
17768,шантаж,шантаж\n1. шанта́ж *(заимствовано из русского)шантаж нкъвгарашантажироватьI. шантаж\n1. шантаж *(заимствовано из русского)
17770,шар,шар\n1. ша́р *(заимствовано из русского)ашар ахъахьповерхность шара
17772,деление,деление\n1. шара́
17773,рассветать,рассветать\n1. лаша́рахарайлашарахитIуже светает\n2. шара́ II.
17774,рассвет,рассвет\n1. шара́ II.\n2. шарпны́шарпны сгылтIя встал на рассвете\n3. ша́хвшахв гIаначпитIрассветает
17776,сукно,сукно\n1. шарба́л [сукно  домотканое]шарбал айквабрюки из домотканого сукна
17777,шарж,шарж\n1. лакъырды́\n2. ша́рж *(заимствовано из русского)ныбджьагIв шарждружеский шарж
17778,шарик,шарик\n1. ша́рик *(заимствовано из русского)
17779,шариковый,шариковый\n1. ша́рик *(заимствовано из русского)шарик къальамшариковая ручка (письменная принадлежность)
17780,шарикоподшипник,шарикоподшипник\n1. шарикоподши́пник *(заимствовано из русского)
17781,шарикоподшипниковый,шарикоподшипниковый\n1. шарикоподши́пник *(заимствовано из русского)шарикоподшипник заводшарикоподшипниковый завод
17782,шарнир,шарнир\n1. шарни́р *(заимствовано из русского)
17783,шарнирный,шарнирный\n1. шарни́р *(заимствовано из русского)шарнир ашIарышвагашарнирная передача
17784,заря,заря\n1. марагIатшкIары́цIымта [заря  утренняя]\n2. мараташва́мта [заря  вечерняя]\n3. шарпны́
17786,шасси,шасси\n1. шасси́ *(заимствовано из русского)ашассиква ацIахъахраубрать шасси
17787,шатун,шатун\n1. шату́н *(заимствовано из русского) тех.
17788,шатунный,шатунный\n1. шату́н *(заимствовано из русского) тех.шатун механизмшатунный механизм
17790,шафрановый,шафрановый\n1. шафра́н *(заимствовано из русского)
17791,шах,"шах\n1. пашты́хIапаштыхI йпхIвыскоролева, царица (жена короля, царя)\n2. ша́х *(заимствовано из русского) [шах  (титул)]\n3. ша́х II. *(заимствовано из русского)шах йахIвраобъявить шахI. шах\n1. шах *(заимствовано из русского)"
17794,свидетель,свидетель\n1. шахIа́т
17795,свидетельский,свидетельский\n1. шахIа́тшахIат гIарбараквасвидетельские показания
17796,свидетельство,свидетельство\n1. шахIатлы́къ [свидетельство  свидетельское]
17797,довод,I. довод\n1. рцIабыргга\n2. хъарцIага\n3. шахIатлыкъ
17800,шахиншах,I. шахиншах\n1. шахиншах *(заимствовано из русского)
17801,шахматы,шахматы\n1. ша́хмат *(заимствовано из русского)шахматла ачемпиончемпион по шахматам
17802,шахматный,шахматный\n1. ша́хмат *(заимствовано из русского)шахмат турниршахматный турнир
17803,шахматист,шахматист\n1. шахмата́сыгIв *(заимствовано из русского)
17805,шахтный,шахтный\n1. ша́хта *(заимствовано из русского)
17807,шахтерский,шахтерский\n1. шахтё́р *(заимствовано из русского)шахтёр мзашахтерская лампашахтёр мзашахтерская лампа
17810,шашка,шашка\n1. ша́шка *(заимствовано из русского)
17811,шашечный,шашечный\n1. ша́шка *(заимствовано из русского)шашка турниршашечный турнир
17812,шашист,шашист\n1. шашка́сыгIв *(заимствовано из русского)
17814,швед,швед\n1. шве́д *(заимствовано из русского)швед хъацIашведшвед пхIвысшведка
17815,шведский,шведский\n1. шве́д *(заимствовано из русского)швед бызшвашведский языкI. шведский\n1. швед *(заимствовано из русского)шведский языкшвед бызшва
17817,шведка,шведка\n1. шве́дка *(заимствовано из русского)
17818,швейцар,швейцар\n1. швейца́р *(заимствовано из русского)
17819,швейцарец,швейцарец\n1. швейца́р II. *(заимствовано из русского)швейцар хъацIашвейцарецшвейцар пхIвысшвейцарка
17820,швейцарский,швейцарский\n1. швейца́р II. *(заимствовано из русского)швейцар псабарашвейцарская природаI. швейцарский\n1. швейцар *(заимствовано из русского)швейцарский банкшвейцар банк
17823,швейцарка,швейцарка\n1. швейца́рка *(заимствовано из русского)
17825,шестерня,шестерня\n1. ше́стерня *(заимствовано из русского)
17826,шеф,шеф\n1. ше́ф *(заимствовано из русского)I. шеф\n1. цхърагIагIв\n2. шеф *(заимствовано из русского)шеф пионерской организацииапионер организация ашеф
17829,шефство,шефство\n1. ше́фра *(заимствовано из русского)шефра нахвравзять шефствоI. шефство\n1. цхърагIарашефство над колхозамиаколхозква рцхърагIара
17830,шиллинг,I. шиллинг\n1. шиллинг *(заимствовано из русского) (ахчапI)
17831,шимпанзе,шимпанзе\n1. шимпанзе́ *(заимствовано из русского)
17832,шина,шина\n1. ши́на *(заимствовано из русского)
17833,шинный,шинный\n1. ши́на *(заимствовано из русского)шина заводшинный завод
17834,шинель,шинель\n1. шине́ль *(заимствовано из русского)
17835,шинельный,шинельный\n1. шине́ль *(заимствовано из русского)шинель чухIашинельное сукно
17836,широта,широта\n1. широта́ *(заимствовано из русского)север широтаквасеверные широтыасевер широта йхынгIважвихвбахауа аградусшестьдесят пять градусов северной широтыаюг широта йгIвынгIважвижвабахауа аградуспятьдесят градусов южной широты
17857,шифер,шифер\n1. ши́фер *(заимствовано из русского)
17858,шиферный,шиферный\n1. ши́фер *(заимствовано из русского)шифер хъыбшиферная кровля
17859,шифр,шифр\n1. ши́фр *(заимствовано из русского)ашифр агIадыргаключ к шифрушифрла йгIвразашифровать что
17860,шифрованный,шифрованный\n1. ши́фр *(заимствовано из русского)шифр гIвыразашифрованный текст
17862,белизна,белизна\n1. шкIво́кIвара
17863,шкала,шкала\n1. шкала́ *(заимствовано из русского)термометр шкалашкала термометра
17864,шкаф,шкаф\n1. сы́ра [шкаф  посудный]\n2. шка́ф *(заимствовано из русского)книга шкафкнижный шкафчгIвыча шкафплатяной шкаф
17865,шкафный,шкафный\n1. шка́ф *(заимствовано из русского)шкаф ашвышкафная дверца
17867,шлагбаум,шлагбаум\n1. шлагба́ум *(заимствовано из русского)
17868,шлак,шлак\n1. шла́к *(заимствовано из русского)
17869,шлаковый,шлаковый\n1. шла́к *(заимствовано из русского)
17870,шлакобетон,шлакобетон\n1. шлакобето́н *(заимствовано из русского)
17871,шлакобетонный,шлакобетонный\n1. шлакобето́н *(заимствовано из русского)шлакобетон тдзышлакобетонный дом
17872,шланг,шланг\n1. шла́нг *(заимствовано из русского)лачва шлангрезиновый шлангмцарычвга шлангпожарный шланг
17873,седина,седина\n1. шла́ра
17874,седеть,седеть\n1. шлара́
17876,шлем,"шлем\n1. шле́м *(заимствовано из русского) [шлем  (лётчика, танкиста и т. п.)]"
17877,шлифовщик,шлифовщик\n1. шлифо́вщик *(заимствовано из русского)
17878,шлюз,шлюз\n1. шлю́з *(заимствовано из русского)
17879,шлюзный,шлюзный\n1. шлю́з *(заимствовано из русского)шлюз гвашвквашлюзные ворота
17881,шовинизм,шовинизм\n1. шовини́зм *(заимствовано из русского) полит.I. шовинизм\n1. шовинизм *(заимствовано из русского)
17882,шовинистический,шовинистический\n1. шовини́зм *(заимствовано из русского) полит.шовинизм политикашовинистическая политикаI. шовинистический\n1. шовинизм *(заимствовано из русского)\n2. шовинист *(заимствовано из русского)шовинистические идеиашовинист идеяквашовинистические лозунгиашовинист зшIытраква
17884,шовинист,шовинист\n1. шовини́ст *(заимствовано из русского)I. шовинист\n1. шовинист *(заимствовано из русского)
17886,шоколад,шоколад\n1. шокола́д *(заимствовано из русского)
17887,шоколадный,шоколадный\n1. шокола́д *(заимствовано из русского)шоколад фабрикашоколадная фабрика
17888,шорский,I. шорский\n1. шор *(заимствовано из русского)шорский языкшор бызшва
17889,шоссе,шоссе\n1. шоссе́ *(заимствовано из русского)асфальт злу шоссеасфальтированное шоссе
17890,шоссейный,шоссейный\n1. шоссе́ *(заимствовано из русского)шоссе мгIваквашоссейные дороги
17891,шотландский,I. шотландский\n1. шотланд *(заимствовано из русского)шотландский языкшотланд бызшва
17892,шофер,шофер\n1. шофё́р *(заимствовано из русского)
17893,шоферский,шоферский\n1. шофё́р *(заимствовано из русского)шофёр правашофёрские правашофёр правашофёрские права
17894,шпагат,шпагат\n1. шпага́т *(заимствовано из русского)
17895,шпагатный,шпагатный\n1. шпага́т *(заимствовано из русского)
17896,шпала,шпала\n1. шпа́ла *(заимствовано из русского)
17897,булавка,булавка\n1. шпи́лка *(заимствовано из русского)
17898,шпилька,шпилька\n1. шпи́лька *(заимствовано из русского)
17900,шпионский,шпионский\n1. шпио́н *(заимствовано из русского)шпион организацияквашпионские организациишпион уыс нкъвгарашпионитьI. шпионский\n1. шпион *(заимствовано из русского)шпионский заговоршпион бзацIацIагашпионский центршпион квташпионско-диверсионная школашпион-чвгьахара апхьарта
17902,шпионаж,шпионаж\n1. шпиона́ж *(заимствовано из русского)I. шпионаж\n1. шпионра *(заимствовано из русского)
17904,шприц,шприц\n1. шпри́ц *(заимствовано из русского)\n2. ща́лхга [шприц  (для кровопускания животным)]
17907,лаять,лаять\n1. шра́ II.алаква шитIсобаки лают
17909,нагрев,нагрев\n1. шра́ III.
17910,температурить,температурить\n1. шра-былра́
17911,горячка,горячка\n1. шра-былра́\n2. шхIва́-шхIва
17912,шрапнель,шрапнель\n1. шрапне́ль *(заимствовано из русского)
17913,шрапнельный,шрапнельный\n1. шрапне́ль *(заимствовано из русского)шрапнель хысрашрапнельный огонь
17914,шрифт,шрифт\n1. шри́фт *(заимствовано из русского)латин шрифтлатинский шрифтшрифт дукрупный шрифтшрифт хвыцмелкий шрифт
17915,шрифтовой,шрифтовой\n1. шри́фт *(заимствовано из русского)
17916,заложник,заложник\n1. шсы́I. заложник\n1. шсы
17918,коренастый,коренастый\n1. штIакъвы́къв (диалект: ащхъарауа)
17920,штаб,штаб\n1. шта́б *(заимствовано из русского)ар аштабштаб армииаполк аштабштаб полкаауагIа дружина аштабштаб народной дружиныI. штаб\n1. унашвачпарта\n2. штаб *(заимствовано из русского)штаб гражданской обороныакъральгIв тшыхчара аштабштаб-квартира ООНООН аштаб фатарштаб комсомольской стройкиакомсомол уыхвара аунашвачпарта
17921,штабной,штабной\n1. шта́б *(заимствовано из русского)штаб офицерштабной офицер
17924,штамп,штамп\n1. шта́мп *(заимствовано из русского)штамп аквцIарапоставить штамп
17925,штамповщик,штамповщик\n1. штампо́вщик *(заимствовано из русского)
17926,штанга,штанга\n1. шта́нга *(заимствовано из русского)аштанга щтIыхраподнять штангу
17927,штангист,штангист\n1. штанги́ст *(заимствовано из русского)
17930,штат,штат\n1. шта́т *(заимствовано из русского)Америка ЙадкIылу аШтаткваСоединённые Штаты Америки\n2. шта́т II. *(заимствовано из русского)аштат далацIаразачислить в штат когоI. штат\n1. штат *(заимствовано из русского)штат МадрасМадрас штат (Индия апны)штаты учрежденияа) ауысхарта аштаткваб) анхагIвчва рпхьадзара
17932,штатный,штатный\n1. шта́т II. *(заимствовано из русского)штат расписанаштатное расписаниеI. штатный\n1. штат *(заимствовано из русского)штатная должностьштат ъанатIаштатное расписаниештат расписанаштатный сотрудникштат нхагIвы
17934,штатив,штатив\n1. штати́в *(заимствовано из русского)
17935,штативный,штативный\n1. штати́в *(заимствовано из русского)
17936,луговик,луговик\n1. штгвынDeschampsia caespitosa (L.) Beauv.[луговик дернистый]
17937,штепсель,штепсель\n1. ште́псель *(заимствовано из русского)
17938,штепсельный,штепсельный\n1. ште́псель *(заимствовано из русского)
17940,штрафной,штрафной\n1. штра́ф *(заимствовано из русского)штраф удынштрафной удар
17942,штрейкбрехер,I. штрейкбрехер\n1. штрейкбрехер *(заимствовано из русского)
17943,штрек,штрек\n1. штре́к *(заимствовано из русского)
17944,штукатур,штукатур\n1. штукату́р *(заимствовано из русского)
17945,штукатурный,штукатурный\n1. штукату́р *(заимствовано из русского)штукатур нхаракваштукатурные работы
17946,штурвал,штурвал\n1. штурва́л *(заимствовано из русского)
17947,штурвальный,штурвальный\n1. штурва́л *(заимствовано из русского)штурвал чархштурвальное колесо
17948,штурман,штурман\n1. шту́рман *(заимствовано из русского)
17955,зной,зной\n1. пхынкъыркъы́ш\n2. шуа́райабадза шуару!какая жара!\n3. шуаракъыркъы́ш
17956,знойный,знойный\n1. шуаракъыркъы́шмыш шуаракъыркъышзнойный день
17957,шуруп,шуруп\n1. шуру́п *(заимствовано из русского)
17963,жировой,жировой\n1. шша́шшалыцIкважировые вещества
17965,бельмо,бельмо\n1. шы́
17970,мучной,мучной\n1. шы́лашыла сабамучная пыль
17972,нитка,"нитка\n1. рахъва́рахъва цIатонкая нитьрахъва швпIатолстая нитьагвыр зкIылсуа арахъвагьи кIылситIпосл. где проходит игла, там и нить пройдёт\n2. шында́г [нитка  толстая (льняная, пеньковая, шерстяная)]"
17974,просяной,просяной\n1. шы́рдзашырдза мгьалпросяной хлеб
17982,солома,солома\n1. шы́хIвашыхIв йбкъитIпосл. он молотит солому
17983,соломенный,соломенный\n1. шы́хIвшыхIв хъыбсоломенная крыша\n2. шыхIвлы́цIшыхIвлыцI хъылпасоломенная шляпа
17985,соломинка,соломинка\n1. шы́хIвцадзы йахъватшуа ашыхIвц дамцIаситIпосл. утопающий и за соломинку хватается
17987,скорость,скорость\n1. шва́быжраасамолёт ашвабыжраскорость самолёта
